,year,month,carrier,carrier_name,airport,arr_flights,arr_cancelled, arr_delay, carrier_delay,weather_delay,Airport,city
17288,2018,11,EV,ExpressJet Airlines Inc.,ATL,150.0,9.0,7990.0,5666.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19624,2018,12,OO,SkyWest Airlines Inc.,ATL,2182.0,11.0,40625.0,10682.0,7745.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19591,2018,12,OH,PSA Airlines Inc.,ORD,178.0,6.0,1378.0,250.0,22.0, Chicago O'Hare International,"Chicago, IL"
19528,2018,12,OH,PSA Airlines Inc.,ATL,109.0,6.0,1420.0,262.0,74.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19510,2018,12,NK,Spirit Air Lines,ORD,704.0,2.0,4322.0,760.0,358.0, Chicago O'Hare International,"Chicago, IL"
19501,2018,12,NK,Spirit Air Lines,LAX,679.0,0.0,4724.0,1145.0,325.0, Los Angeles International,"Los Angeles, CA"
19445,2018,12,MQ,Envoy Air,ORD,5747.0,95.0,67109.0,14828.0,3581.0, Chicago O'Hare International,"Chicago, IL"
19491,2018,12,NK,Spirit Air Lines,DEN,238.0,2.0,1829.0,552.0,86.0, Denver International,"Denver, CO"
19482,2018,12,NK,Spirit Air Lines,ATL,690.0,3.0,5367.0,1045.0,39.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19383,2018,12,MQ,Envoy Air,DFW,4059.0,120.0,48940.0,14717.0,6702.0, Dallas/Fort Worth International,Dallas
19349,2018,12,MQ,Envoy Air,ATL,56.0,0.0,649.0,73.0,201.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19329,2018,12,HA,Hawaiian Airlines Inc.,LAX,186.0,0.0,2796.0,2416.0,0.0, Los Angeles International,"Los Angeles, CA"
19492,2018,12,NK,Spirit Air Lines,DFW,597.0,3.0,8589.0,2248.0,111.0, Dallas/Fort Worth International,Dallas
19675,2018,12,OO,SkyWest Airlines Inc.,DEN,3497.0,48.0,54821.0,19634.0,2606.0, Denver International,"Denver, CO"
